pmid	date	type	jabbrv	n.authors	n.words
83117	1978-11-01	Journal Article	Anat Rec	4	160
90174	1979-08-01	Journal Article	J Virol	2	227
185415	1976-10-01	Journal Article	J Virol	3	42
215965	1978-12-28	Journal Article	Pflugers Arch	3	206
257400	1979-09-01	Other	Nurs Res	1	242
291065	1979-08-01	Journal Article	Proc Natl Acad Sci USA	3	153
334780	1977-10-01	Journal Article	J Cell Biol	5	127
423211	1979-03-01	Journal Article	J Med Chem	7	143
512487	1979-09-01	Case Reports	J Laryngol Otol	3	55
536922	1979-12-01	Journal Article	J Physiol (Lond)	2	240
564051	1977-01-01	Journal Article	Pflugers Arch	4	186
714974	1978-08-01	Journal Article	Pharmacol Biochem Behav	5	168
800985	1975-04-01	Journal Article	Eur J Biochem	3	148
831521	1977-01-01	Other	Am J Orthopsychiatry	1	76
870791	1977-05-01	Case Reports	Medicine (Baltimore)	7	230
956963	1976-09-01	Journal Article	J Pediatr	5	146
960171	1976-09-01	Journal Article	Stroke	3	172
1067728	1975-01-01	Clinical Trial	Acta Odontol Scand	4	252
1163519	1975-09-01	Journal Article	Am J Dig Dis	1	185
1198229	1975-11-08	Journal Article	S Afr Med J	1	51
1257770	1976-04-23	Journal Article	Science	3	108
1291156	1992-01-01	Journal Article	Dev Genet	3	261
1317244	1992-04-01	Journal Article	Can J Vet Res	10	166
1323311	1992-08-01	Other	Neuron	4	140
1351728	1992-02-01	Journal Article	Arzneimittelforschung	2	168
1354161	1992-03-17	Journal Article	Eur J Pharmacol	3	246
1409550	1992-06-01	Journal Article	Protein Eng	3	244
1424298	1992-10-01	Other	Clin Exp Pharmacol Physiol	3	240
1530624	1992-09-16	Journal Article	Biochem Biophys Res Commun	7	122
1568959	1992-03-01	Journal Article	J Appl Physiol	3	207
1625789	1992-02-03	Journal Article	Neurosci Lett	6	96
1644198	1992-08-10	Journal Article	FEBS Lett	2	106
1659170	1991-11-15	Journal Article	Am J Cardiol	8	247
1677938	1991-02-01	Journal Article	J Biochem	2	158
1679372	1991-07-01	Journal Article	Zhonghua Yi Xue Za Zhi (Taipei)	6	315
1703642	1990-08-01	Case Reports	Neurol Med Chir (Tokyo)	3	109
1704235	1990-07-01	Journal Article	Z Naturforsch, C, J Biosci	3	133
1777185	1991-12-01	Other	Am J Hypertens	2	76
1816312	1991-12-01	Journal Article	J Indian Med Assoc	5	194
1881414	1991-09-01	Journal Article	Mutat Res	4	230
1893634	1991-09-01	Journal Article	Clin Exp Immunol	4	176
1919713	1991-11-01	Other	J Neurosurg	1	73
1933162	1991-10-01	Clinical Trial	Br J Urol	4	91
1968904	1990-03-15	Clinical Trial	Hosp Pract (Off Ed)	1	60
1986968	1991-01-01	Journal Article	Fertil Steril	5	145
1999545	1991-02-01	Case Reports	J Am Acad Dermatol	4	97
2018208	1991-01-01	Clinical Trial	Allergy	10	186
2022394	1991-01-01	Journal Article	Indian J Med Res	6	90
2044288	1991-06-01	Journal Article	Clin Orthop Relat Res	2	126
2070074	1991-07-15	Journal Article	Blood	5	140
2153452	1990-02-15	Journal Article	Cancer Res	9	366
2161505	1990-03-01	Journal Article	Neurobiol Aging	3	132
2171541	1990-10-01	Journal Article	Arthritis Rheum	4	198
2185433	1990-01-01	Journal Article	Neuroradiology	3	82
2206194	1990-08-01	Other	Anal Quant Cytol Histol	4	288
2238045	1990-09-01	Journal Article	Trends Biochem Sci	1	66
2263454	1990-12-11	Journal Article	Nucleic Acids Res	2	106
2339520	1990-01-01	Journal Article	Vox Sang	3	97
2447877	1987-12-16	Journal Article	Biochem Biophys Res Commun	3	146
2472115	1989-04-01	Journal Article	Antiviral Res	3	148
2486938	1989-01-01	Journal Article	Lens Eye Toxic Res	7	247
2487818	1989-01-01	Journal Article	Gastroenterol Nurs	1	101
2519181	1989-01-01	Case Reports	Acta Univ Carol Med (Praha)	3	150
2520205	1989-11-01	Other	Math Biosci	4	100
2752416	1989-07-01	Journal Article	Cell Tissue Res	2	222
2755419	1989-05-01	Journal Article	Neurotoxicol Teratol	4	260
2815592	1989-11-01	Journal Article	Virology	6	182
2864201	1985-01-01	Other	Comp Biochem Physiol A Comp Physiol	3	176
2928999	1989-02-01	Journal Article	Thorax	3	205
