pmid	date	type	jabbrv	n.authors	n.words
15136	1977-03-01	Journal Article	J Virol	3	11
36011	1979-03-01	Journal Article	Andrologia	2	12
42735	1979-12-01	Journal Article	J Pharm Pharmacol	3	6
110820	1979-04-01	Journal Article	J Cell Sci	2	14
168275	1975-07-01	Journal Article	J Infect Dis	2	9
266854	1977-01-01	Journal Article	Arch Oral Biol	4	13
269626	1977-01-01	Journal Article	Acta Obstet Gynecol Scand Suppl	3	8
277701	1978-08-01	Case Reports	J Med Soc N J	1	5
283136	1979-03-01	Journal Article	J Dent Res	1	7
308183	1978-09-28	Journal Article	N Engl J Med	5	11
318164	1979-03-15	Journal Article	J Mol Biol	2	9
355686	1978-04-01	Journal Article	Jpn J Med Sci Biol	2	20
384961	1979-03-01	Other	Arch Phys Med Rehabil	0	7
447996	1979-07-01	Journal Article	J Am Geriatr Soc	2	6
473467	1979-08-01	Case Reports	Urology	6	13
524923	1979-09-01	Journal Article	Yale J Biol Med	2	13
534763	1979-01-01	Journal Article	Biorheology	3	14
591296	1977-10-01	Case Reports	Isr J Med Sci	4	15
593924	1977-12-01	Journal Article	Nurs Times	1	6
620722	1978-01-15	Journal Article	Experientia	4	14
626055	1978-01-01	Journal Article	Acta Otolaryngol	5	8
671207	1978-01-01	Case Reports	J Perinat Med	1	23
858060	1977-04-23	Other	Br Med J	3	6
903085	1977-10-01	Journal Article	Hosp Community Psychiatry	1	12
953061	1976-01-01	Journal Article	Biochimie	4	16
979189	1976-08-01	Journal Article	J Soc Psychol	1	16
1007758	1976-01-01	Journal Article	Acta Biol Med Ger	3	16
1064400	1976-02-01	Case Reports	Aust N Z J Surg	3	2
1067325	1976-10-01	Journal Article	J Am Coll Dent	1	3
1078944	1975-01-01	Journal Article	Am J Roentgenol Radium Ther Nucl Med	3	7
1087594	1976-12-01	Journal Article	Clin Exp Immunol	6	19
1133813	1975-03-01	Journal Article	J Med Chem	6	7
1163203	1975-01-01	Journal Article	Acta Anat (Basel)	1	19
1169992	1975-06-01	Journal Article	Biol Psychiatry	2	14
1218994	1975-12-01	Journal Article	Isr J Med Sci	3	14
1230447	1975-01-01	Journal Article	Int J Psychiatry Med	3	8
1352638	1992-07-01	Journal Article	Physiol Rev	3	11
1376617	1992-02-01	Clinical Trial	Ann Oncol	5	22
1400690	1992-09-01	Journal Article	J Child Psychol Psychiatry	2	19
1406043	1992-09-01	Journal Article	Lepr Rev	1	5
1453811	1992-05-01	Journal Article	Med Biol Eng Comput	4	12
1457689	1992-01-01	Journal Article	Biomater Artif Cells Immobilization Biotechnol	10	13
1496761	1992-06-20	Journal Article	Vet Rec	4	3
1546797	1992-02-01	Journal Article	Anat Rec	1	19
1604585	1992-06-01	Journal Article	Transplant Proc	10	18
1633573	1992-06-01	Journal Article	Comput Appl Biosci	9	10
1647784	1991-02-01	Journal Article	J Biomol Struct Dyn	2	11
1710952	1991-06-01	Other	Clin Chem	1	20
1717121	1991-11-15	Clinical Trial	Cancer	10	30
1729593	1992-01-01	Journal Article	Mol Cell Biol	2	14
1763486	1991-10-01	Clinical Trial	Vet Parasitol	4	6
1847038	1991-02-11	Journal Article	Arch Surg	9	8
1849073	1991-04-01	Journal Article	EMBO J	3	15
1892710	1991-01-01	Journal Article	Annu Rev Nutr	2	12
2003324	1991-03-01	Journal Article	Transfusion	4	10
2105136	1990-01-06	Other	BMJ	0	2
2134413	1990-03-01	Case Reports	J Spinal Disord	1	11
